Year,price,Fuel type,Gear box type,Manufacturer,Color,CarName
2009,32313,Diesel,Manual,VOLVO,Orange,volvo v60
2010,39653,Hybrid,Manual,VOLKSWAGEN,White,vw taos
2024,9728,Electric,Automatic,MITSUBISHI,Gold,mitsubishi wagon
2011,31786,Diesel,Manual,MAZDA,Navy,mazda cx50
2018,21905,Diesel,CVT,RAM,Yellow,ram crossover
2020,22999,Petrol,Automatic,SEAT,Beige,seat convertible
2011,36343,Hybrid,Semi-Automatic,MINI,Yellow,mini coupe
2016,84233,Electric,Automatic,AUDI,Beige,audi r8
2005,24139,Hybrid,CVT,GMC,Orange,gmc hatchback
2017,41738,Electric,Automatic,LEXUS,Blue,lexus rx350
2021,26411,Electric,Automatic,JEEP,White,jeep gladiator
2008,75360,Electric,Automatic,TESLA,Red,tesla models
2022,14694,Hybrid,Manual,SKODA,Beige,skoda wagon
2019,31849,Electric,Automatic,RAM,Black,ram hatchback
2008,47699,Electric,Automatic,INFINITI,Navy,infiniti qx80
2019,45371,Petrol,Automatic,VOLKSWAGEN,Red,vw gti
2024,16001,Electric,Automatic,CHRYSLER,Gold,chrysler convertible
2022,46761,Electric,Automatic,FIAT,Brown,fiat wagon
2010,24651,Electric,Automatic,NISSAN,Red,nissan frontier
2015,43290,Diesel,Manual,CHEVROLET,White,chevrolet traverse
2021,23604,Electric,Automatic,PEUGEOT,Maroon,peugeot hatchback
2017,43560,Diesel,Automatic,VOLKSWAGEN,Blue,vw golf
2024,109771,Electric,Automatic,BMW,Navy,bmw 330i
2008,39343,Diesel,CVT,SUBARU,Beige,subaru impreza
2012,43595,Hybrid,CVT,FIAT,Red,fiat truck
2020,38946,Hybrid,Automatic,RAM,Red,ram sedan
2005,16763,Electric,Automatic,FIAT,Black,fiat coupe
2009,35236,Petrol,CVT,VOLVO,Brown,volvo v60
2021,28501,Electric,Automatic,BMW,Gold,bmw 320i
2021,73702,Electric,Automatic,MERCEDES-BENZ,Navy,mercedes-benz e350
2021,64623,Hybrid,Semi-Automatic,MERCEDES-BENZ,White,mercedes-benz c300
2006,32656,Electric,Automatic,JEEP,White,jeep compass
2022,55894,Petrol,CVT,SUZUKI,Black,suzuki crossover
2020,25612,Electric,Automatic,MITSUBISHI,Green,mitsubishi coupe
2010,10904,Petrol,Manual,HONDA,Beige,honda odyssey
2010,38923,Hybrid,Semi-Automatic,DODGE,Yellow,dodge ram2500
2022,89276,Diesel,Semi-Automatic,LEXUS,Grey,lexus ls500
2024,15883,Hybrid,Semi-Automatic,SEAT,Blue,seat coupe
2010,34009,Petrol,Semi-Automatic,GMC,Red,gmc coupe
2014,52775,Electric,Automatic,AUDI,White,audi a4
2012,59361,Hybrid,Automatic,LAND-ROVER,Green,land-rover sport
2009,38538,Electric,Automatic,BMW,Black,bmw x5
2021,13839,Diesel,Manual,JEEP,Black,jeep wagoneer
2007,27412,Hybrid,Automatic,CHRYSLER,Green,chrysler convertible
2021,51757,Hybrid,Manual,CADILLAC,Yellow,cadillac minivan
2012,40005,Hybrid,CVT,BUICK,Silver,buick convertible
2014,14591,Electric,Automatic,PEUGEOT,Maroon,peugeot wagon
2013,17606,Hybrid,CVT,MINI,Silver,mini countryman
2014,47047,Diesel,Manual,ACURA,Maroon,acura rdx
2020,70933,Petrol,Semi-Automatic,INFINITI,Purple,infiniti qx60
2009,11709,Petrol,Manual,HONDA,White,honda insight
2024,116189,Electric,Automatic,JAGUAR,Black,jaguar xj
2013,39884,Electric,Automatic,CHEVROLET,Black,chevrolet traverse
2011,7785,Electric,Automatic,PEUGEOT,Brown,peugeot wagon
2007,13122,Diesel,Semi-Automatic,SUZUKI,Black,suzuki wagon
2022,47549,Hybrid,CVT,SKODA,White,skoda coupe
2015,28119,Hybrid,Automatic,RENAULT,Brown,renault truck
2011,14170,Petrol,Semi-Automatic,GMC,Red,gmc minivan
2015,28158,Hybrid,CVT,RENAULT,Blue,renault minivan
2022,44689,Diesel,CVT,FORD,Beige,ford fusion
2006,35652,Hybrid,Manual,SKODA,Purple,skoda sedan
2021,11486,Petrol,Manual,FORD,Blue,ford f150
2006,7766,Diesel,CVT,HYUNDAI,White,hyundai kona
2005,68188,Diesel,Manual,LAND-ROVER,Silver,land-rover defender
2014,68504,Diesel,Semi-Automatic,BMW,Yellow,bmw 520i
2011,16196,Electric,Automatic,CADILLAC,Gold,cadillac sedan
2012,27796,Hybrid,Manual,VOLKSWAGEN,Maroon,vw gti
2020,76146,Electric,Automatic,BMW,Red,bmw x6
2005,57303,Petrol,Manual,MERCEDES-BENZ,Blue,mercedes-benz c300
2021,17925,Electric,Automatic,MITSUBISHI,Brown,mitsubishi wagon
2021,24375,Electric,Automatic,SUBARU,Green,subaru legacy
2022,84999,Diesel,Automatic,LEXUS,Brown,lexus is300
2005,35959,Petrol,Automatic,GMC,Red,gmc convertible
2014,28705,Electric,Automatic,ACURA,Purple,acura nsx
2005,24630,Electric,Automatic,INFINITI,Beige,infiniti qx50
2006,11018,Hybrid,Automatic,KIA,Beige,kia rio
2015,19000,Diesel,Manual,BUICK,Orange,buick coupe
2007,22682,Diesel,Manual,MERCEDES-BENZ,Beige,mercedes-benz e450
2018,61737,Diesel,Semi-Automatic,MERCEDES-BENZ,Purple,mercedes-benz glc
2020,40329,Hybrid,Automatic,NISSAN,Yellow,nissan leaf
2005,15109,Diesel,Manual,ACURA,Black,acura nsx
2015,47537,Petrol,Manual,CHRYSLER,Grey,chrysler truck
2018,24947,Hybrid,CVT,RAM,Purple,ram hatchback
2012,22722,Electric,Automatic,RAM,Blue,ram coupe
2021,64907,Electric,Automatic,INFINITI,Orange,infiniti qx80
2011,19183,Petrol,CVT,CHEVROLET,Black,chevrolet traverse
2017,51877,Electric,Automatic,CADILLAC,Silver,cadillac wagon
2008,38851,Diesel,Semi-Automatic,VOLVO,Brown,volvo v60
2024,39321,Petrol,Semi-Automatic,RENAULT,Purple,renault wagon
2015,28691,Petrol,Automatic,JAGUAR,Maroon,jaguar ftype
2012,38847,Petrol,Semi-Automatic,KIA,Grey,kia optima
2005,15356,Petrol,CVT,AUDI,Grey,audi a6
2014,18638,Petrol,Automatic,TOYOTA,Blue,toyota sienna
2022,29522,Petrol,Automatic,CHRYSLER,Maroon,chrysler hatchback
2011,10814,Electric,Automatic,MAZDA,Orange,mazda mazda6
2011,54146,Petrol,Semi-Automatic,INFINITI,Yellow,infiniti q50
2005,21862,Electric,Automatic,AUDI,Red,audi a8
2020,18474,Hybrid,Manual,FIAT,Navy,fiat sedan
2007,14765,Petrol,Semi-Automatic,SEAT,Gold,seat minivan
2013,30260,Petrol,Manual,JAGUAR,Purple,jaguar fpace
2011,32981,Diesel,Manual,HONDA,Purple,honda civic
2006,36909,Petrol,Automatic,SUBARU,Gold,subaru outback
2024,9609,Hybrid,Semi-Automatic,FORD,Orange,ford escape
2017,18483,Petrol,Manual,MAZDA,Green,mazda mazda3
2018,56019,Hybrid,Semi-Automatic,CADILLAC,Grey,cadillac sedan
2015,39709,Electric,Automatic,VOLKSWAGEN,Silver,vw gti
2018,52058,Electric,Automatic,HONDA,Red,honda ridgeline
2012,85670,Hybrid,CVT,LEXUS,Red,lexus gs350
2018,36209,Hybrid,Semi-Automatic,CADILLAC,Grey,cadillac wagon
2019,24447,Electric,Automatic,SUZUKI,Blue,suzuki sedan
2023,41431,Hybrid,CVT,VOLKSWAGEN,Silver,vw tiguan
2021,34240,Petrol,Automatic,PEUGEOT,Blue,peugeot wagon
2006,9240,Electric,Automatic,CHRYSLER,Brown,chrysler crossover
2012,8122,Diesel,Automatic,HYUNDAI,Grey,hyundai santafe
2015,26253,Hybrid,CVT,HYUNDAI,Black,hyundai genesis
2014,37920,Petrol,Automatic,MAZDA,Green,mazda cx30
2011,34699,Electric,Automatic,SUBARU,Purple,subaru legacy
2012,51186,Diesel,Semi-Automatic,BMW,Silver,bmw x5
2018,48832,Hybrid,Automatic,MITSUBISHI,Red,mitsubishi suv
2019,11805,Hybrid,CVT,VOLKSWAGEN,Brown,vw jetta
2021,26356,Hybrid,Manual,VOLVO,Silver,volvo xc40
2023,96561,Electric,Automatic,JAGUAR,Green,jaguar epace
2007,36907,Petrol,Semi-Automatic,GMC,Purple,gmc crossover
2011,42420,Hybrid,Semi-Automatic,VOLKSWAGEN,Red,vw arteon
2014,26428,Petrol,Automatic,CADILLAC,Black,cadillac sedan
2022,73084,Electric,Automatic,AUDI,Green,audi q8
2019,44963,Hybrid,Semi-Automatic,SUZUKI,Grey,suzuki sedan
2022,55673,Hybrid,CVT,AUDI,Yellow,audi a8
2018,28227,Diesel,Semi-Automatic,INFINITI,White,infiniti q60
2010,32856,Electric,Automatic,HYUNDAI,Blue,hyundai accent
2011,22682,Petrol,Manual,JEEP,Silver,jeep grand-cherokee
2023,21363,Electric,Automatic,SKODA,Silver,skoda coupe
2005,40590,Diesel,Automatic,INFINITI,Maroon,infiniti qx60
2009,21998,Petrol,Semi-Automatic,GMC,Yellow,gmc hatchback
2023,53437,Hybrid,CVT,HONDA,Orange,honda accord
2014,24747,Diesel,CVT,PEUGEOT,Brown,peugeot wagon
2015,15853,Petrol,CVT,SEAT,Purple,seat truck
2020,69583,Electric,Automatic,TESLA,Silver,tesla roadster
2023,33300,Hybrid,CVT,VOLKSWAGEN,Gold,vw arteon
2017,17848,Electric,Automatic,SEAT,Navy,seat truck
2015,20937,Petrol,Automatic,MINI,Blue,mini countryman
2013,42658,Electric,Automatic,RAM,Yellow,ram wagon
2016,27341,Diesel,CVT,FORD,Black,ford focus
2019,53416,Electric,Automatic,NISSAN,Silver,nissan pathfinder
2010,14654,Hybrid,Automatic,CHEVROLET,Red,chevrolet cruze
2020,53004,Petrol,Semi-Automatic,BUICK,Green,buick convertible
2009,29421,Electric,Automatic,FIAT,Black,fiat suv
2020,93223,Petrol,Automatic,BMW,Purple,bmw 740i
2010,51496,Petrol,Semi-Automatic,PORSCHE,Black,porsche 911
2016,27329,Diesel,CVT,GMC,Beige,gmc coupe
2020,47834,Diesel,Manual,HYUNDAI,Green,hyundai santafe
2020,28981,Diesel,Semi-Automatic,HONDA,Grey,honda hrv
2010,48189,Petrol,Manual,CADILLAC,Red,cadillac coupe
2023,71975,Petrol,Semi-Automatic,ACURA,Beige,acura rlx
2014,32299,Hybrid,Automatic,LAND-ROVER,Silver,land-rover sport
2010,17908,Hybrid,CVT,FORD,Green,ford f150
2013,13733,Hybrid,CVT,FORD,Beige,ford maverick
2019,42651,Hybrid,Manual,SUBARU,Blue,subaru crosstrek
2014,29220,Electric,Automatic,GMC,Black,gmc suv
2023,25948,Hybrid,Manual,RENAULT,Navy,renault hatchback
2010,13749,Petrol,CVT,CHRYSLER,Maroon,chrysler coupe
2007,21246,Hybrid,Semi-Automatic,FIAT,Navy,fiat minivan
2013,54829,Hybrid,Manual,VOLVO,Grey,volvo xc40
2023,36014,Hybrid,CVT,MINI,Blue,mini clubman
2019,63230,Electric,Automatic,VOLVO,Brown,volvo s60
2005,14086,Petrol,Automatic,INFINITI,Purple,infiniti qx50
2020,42395,Petrol,CVT,MAZDA,Brown,mazda cx9
2014,33970,Petrol,Manual,HYUNDAI,Black,hyundai accent
2010,15895,Diesel,Manual,VOLKSWAGEN,Maroon,vw golf
2007,31775,Diesel,Semi-Automatic,SKODA,White,skoda wagon
2016,39807,Diesel,Manual,PEUGEOT,Orange,peugeot suv
2009,37832,Hybrid,Manual,JEEP,Brown,jeep wrangler
2020,28811,Hybrid,Automatic,PORSCHE,Blue,porsche panamera
2012,35715,Diesel,Semi-Automatic,LAND-ROVER,Silver,land-rover range-rover
2019,38754,Hybrid,CVT,VOLKSWAGEN,Blue,vw passat
2023,35772,Hybrid,Automatic,DODGE,Brown,dodge ram1500
2008,5678,Electric,Automatic,SUZUKI,Maroon,suzuki sedan
2017,21675,Electric,Automatic,MINI,Green,mini countryman
2020,34221,Hybrid,Semi-Automatic,SUZUKI,Green,suzuki coupe
2009,40982,Petrol,Semi-Automatic,JEEP,Silver,jeep renegade
2012,37999,Diesel,Semi-Automatic,DODGE,Grey,dodge challenger
2021,12149,Hybrid,Manual,KIA,Blue,kia carnival
2007,22937,Electric,Automatic,KIA,Purple,kia sorento
2014,41306,Diesel,Automatic,CHEVROLET,Brown,chevrolet colorado
2007,5491,Diesel,CVT,HONDA,Orange,honda insight
2016,38387,Hybrid,Automatic,SUZUKI,Green,suzuki sedan
2014,12112,Diesel,Manual,GMC,Purple,gmc crossover
2010,60639,Diesel,Semi-Automatic,AUDI,Green,audi a3
2013,59714,Petrol,CVT,LAND-ROVER,Black,land-rover evoque
2009,14171,Hybrid,CVT,CHRYSLER,Beige,chrysler truck
2008,40743,Diesel,Semi-Automatic,MERCEDES-BENZ,Red,mercedes-benz e450
2023,64486,Electric,Automatic,VOLVO,Grey,volvo v60
2024,14822,Hybrid,Semi-Automatic,MAZDA,Blue,mazda cx50
2024,30858,Hybrid,CVT,RAM,Blue,ram sedan
2021,10388,Diesel,CVT,VOLKSWAGEN,Grey,vw id4
2019,51120,Hybrid,Semi-Automatic,RENAULT,Purple,renault crossover
2006,25468,Petrol,Semi-Automatic,FIAT,Brown,fiat sedan
2019,51207,Hybrid,Automatic,DODGE,Red,dodge journey
2012,17095,Diesel,Automatic,MAZDA,Silver,mazda cx3
2009,23065,Petrol,Manual,LAND-ROVER,Beige,land-rover defender
2015,34004,Electric,Automatic,DODGE,White,dodge ram1500
2010,19028,Petrol,Automatic,GMC,Blue,gmc suv
2024,45044,Diesel,Automatic,TOYOTA,Gold,toyota tacoma
2014,38138,Diesel,Automatic,GMC,Black,gmc sedan
2006,8484,Diesel,CVT,MITSUBISHI,Black,mitsubishi sedan
2022,42643,Petrol,Semi-Automatic,MINI,Red,mini clubman
2005,7108,Hybrid,Semi-Automatic,SKODA,Silver,skoda sedan
2006,33050,Petrol,Semi-Automatic,JAGUAR,Orange,jaguar xj
2011,20092,Petrol,Automatic,SEAT,Orange,seat minivan
2016,25649,Hybrid,Semi-Automatic,MERCEDES-BENZ,Grey,mercedes-benz gls
2024,87514,Hybrid,Semi-Automatic,BMW,Grey,bmw x6
2016,37505,Hybrid,Semi-Automatic,SEAT,Black,seat minivan
2015,65087,Petrol,Automatic,JAGUAR,Brown,jaguar ftype
2023,23826,Hybrid,Manual,PEUGEOT,Red,peugeot hatchback
2018,37008,Hybrid,Automatic,CADILLAC,Black,cadillac convertible
2022,37587,Electric,Automatic,HYUNDAI,Blue,hyundai elantra
2010,67014,Petrol,CVT,MERCEDES-BENZ,White,mercedes-benz cls
2018,31095,Diesel,CVT,HONDA,Gold,honda civic
2021,15426,Hybrid,Automatic,NISSAN,Blue,nissan kicks
2009,14133,Hybrid,Automatic,CHRYSLER,Brown,chrysler sedan
2012,43563,Hybrid,CVT,HYUNDAI,Green,hyundai tucson
2009,31197,Electric,Automatic,SKODA,White,skoda crossover
2006,21887,Petrol,Manual,PEUGEOT,Blue,peugeot minivan
2005,31071,Petrol,Manual,MITSUBISHI,Brown,mitsubishi coupe
2021,51117,Electric,Automatic,MAZDA,Black,mazda cx30
2021,37994,Diesel,CVT,DODGE,Navy,dodge ram2500
2019,18708,Diesel,Manual,TOYOTA,Blue,toyota avalon
2011,36445,Petrol,CVT,AUDI,White,audi a6
2012,44049,Diesel,Manual,FIAT,Silver,fiat truck
2014,39161,Diesel,CVT,CHEVROLET,Brown,chevrolet camaro
2011,22786,Petrol,CVT,HONDA,Beige,honda civic
2016,18094,Electric,Automatic,RAM,Maroon,ram wagon
2016,47259,Electric,Automatic,FORD,Brown,ford fiesta
2023,86036,Petrol,Automatic,MERCEDES-BENZ,Silver,mercedes-benz c180
2020,25147,Electric,Automatic,RAM,Gold,ram suv
2018,37389,Hybrid,Manual,HONDA,Maroon,honda fit
2016,26734,Electric,Automatic,BMW,Maroon,bmw x7
2006,42929,Hybrid,Semi-Automatic,BMW,Grey,bmw 520i
2005,39698,Petrol,Automatic,VOLVO,Maroon,volvo c40
2020,70229,Petrol,Manual,AUDI,Maroon,audi rs5
2011,7459,Electric,Automatic,JEEP,Orange,jeep gladiator
2005,31913,Electric,Automatic,JAGUAR,Maroon,jaguar ipace
2011,33342,Electric,Automatic,MINI,Green,mini coupe
2009,18028,Petrol,Semi-Automatic,VOLKSWAGEN,Blue,vw tiguan
2022,52626,Petrol,Automatic,RAM,Maroon,ram coupe
2023,31988,Electric,Automatic,INFINITI,Beige,infiniti qx80
2005,22656,Petrol,Manual,SKODA,Beige,skoda hatchback
2017,22581,Petrol,CVT,KIA,Orange,kia telluride
2014,9453,Electric,Automatic,SUBARU,Silver,subaru wrx
2019,14787,Diesel,CVT,CHEVROLET,Beige,chevrolet suburban
2008,24003,Diesel,Manual,NISSAN,Green,nissan maxima
2010,40482,Electric,Automatic,VOLVO,Silver,volvo v90
2015,20015,Petrol,Semi-Automatic,DODGE,Blue,dodge journey
2014,35700,Diesel,Manual,AUDI,Grey,audi a4
2016,87112,Diesel,Semi-Automatic,JAGUAR,Purple,jaguar xj
2010,40872,Petrol,CVT,SEAT,Maroon,seat wagon
2005,11592,Hybrid,CVT,MITSUBISHI,Beige,mitsubishi coupe
2024,29786,Hybrid,Manual,MINI,Beige,mini clubman
2022,11209,Hybrid,Semi-Automatic,SUBARU,Brown,subaru brz
2005,16853,Petrol,CVT,VOLVO,Maroon,volvo xc90
2015,36933,Diesel,CVT,PEUGEOT,Brown,peugeot suv
2009,17160,Hybrid,CVT,VOLKSWAGEN,Brown,vw beetle
2012,42245,Petrol,Manual,FORD,White,ford maverick
2005,18399,Diesel,CVT,VOLVO,Orange,volvo xc90
2017,20586,Hybrid,CVT,CHRYSLER,Red,chrysler truck
2019,30361,Petrol,Manual,FIAT,Black,fiat suv
2012,64473,Electric,Automatic,LEXUS,Red,lexus es350
2011,20843,Petrol,Automatic,SKODA,Gold,skoda minivan
2024,19035,Hybrid,Semi-Automatic,CHRYSLER,Maroon,chrysler convertible
2022,24641,Electric,Automatic,TOYOTA,Red,toyota sienna
2014,45334,Diesel,Manual,FORD,Red,ford explorer
2013,29345,Petrol,Semi-Automatic,HYUNDAI,Grey,hyundai santafe
2019,31270,Petrol,CVT,CHEVROLET,Brown,chevrolet blazer
2013,28336,Hybrid,Manual,SUZUKI,Orange,suzuki crossover
2017,36916,Electric,Automatic,MERCEDES-BENZ,Yellow,mercedes-benz a200
2014,43683,Petrol,Automatic,JEEP,Silver,jeep compass
2017,19494,Petrol,CVT,MITSUBISHI,Yellow,mitsubishi sedan
2024,16189,Electric,Automatic,VOLKSWAGEN,Green,vw id4
2005,22891,Petrol,Manual,KIA,Green,kia optima
2021,37007,Hybrid,Automatic,NISSAN,Brown,nissan versa
2017,19732,Petrol,Automatic,BUICK,Black,buick suv
2006,12445,Petrol,Semi-Automatic,SEAT,Orange,seat convertible
2020,36485,Hybrid,Semi-Automatic,BMW,Beige,bmw m3
2024,49843,Petrol,CVT,PORSCHE,White,porsche macan
2024,35906,Electric,Automatic,BMW,Grey,bmw 520i
2009,57441,Electric,Automatic,LAND-ROVER,Red,land-rover evoque
2023,8499,Petrol,Semi-Automatic,DODGE,Purple,dodge durango
2007,38089,Petrol,Semi-Automatic,NISSAN,Orange,nissan sentra
2011,20670,Diesel,Semi-Automatic,TOYOTA,Black,toyota venza
2014,18794,Hybrid,Automatic,RENAULT,Red,renault coupe
2006,6532,Petrol,CVT,VOLKSWAGEN,Brown,vw tiguan
2023,11881,Hybrid,CVT,NISSAN,Silver,nissan sentra
2006,15095,Diesel,Semi-Automatic,GMC,Blue,gmc minivan
2008,16511,Diesel,CVT,TOYOTA,Orange,toyota prius
2015,30949,Hybrid,Automatic,DODGE,Navy,dodge durango
2024,69715,Petrol,Semi-Automatic,ACURA,Blue,acura rlx
2021,51029,Petrol,Semi-Automatic,HYUNDAI,Silver,hyundai accent
2005,25797,Hybrid,Manual,PORSCHE,Navy,porsche panamera
2023,24624,Electric,Automatic,BUICK,Beige,buick convertible
2016,30124,Petrol,Manual,PEUGEOT,Silver,peugeot convertible
2019,101149,Diesel,Manual,BMW,Maroon,bmw z4
2015,44150,Hybrid,Semi-Automatic,MITSUBISHI,Grey,mitsubishi coupe
2020,17034,Hybrid,Semi-Automatic,KIA,Gold,kia rio
2005,19528,Diesel,CVT,CHEVROLET,Orange,chevrolet malibu
2022,11466,Petrol,Automatic,PEUGEOT,Green,peugeot hatchback
2012,20132,Hybrid,Semi-Automatic,NISSAN,Maroon,nissan frontier
2017,61415,Petrol,CVT,INFINITI,Gold,infiniti qx50
2022,14914,Petrol,CVT,GMC,Blue,gmc truck
2006,28361,Electric,Automatic,GMC,Blue,gmc sedan
2008,31895,Petrol,Semi-Automatic,SEAT,Red,seat minivan
2005,13307,Hybrid,Semi-Automatic,DODGE,Grey,dodge ram1500
2016,23812,Electric,Automatic,PEUGEOT,Beige,peugeot coupe
2010,18584,Electric,Automatic,INFINITI,Yellow,infiniti qx60
2014,25082,Electric,Automatic,NISSAN,Black,nissan leaf
2020,65649,Diesel,Semi-Automatic,VOLVO,Green,volvo xc60
2022,10804,Hybrid,Manual,NISSAN,White,nissan murano
2005,20976,Diesel,CVT,MINI,Brown,mini countryman
2020,54343,Electric,Automatic,NISSAN,Silver,nissan maxima
2006,30383,Electric,Automatic,FORD,Purple,ford explorer
2008,26717,Hybrid,Semi-Automatic,MERCEDES-BENZ,Green,mercedes-benz gls
2008,37655,Hybrid,Automatic,SUBARU,Red,subaru legacy
2015,27150,Diesel,Semi-Automatic,CHEVROLET,Brown,chevrolet traverse
2023,36659,Petrol,Manual,TOYOTA,Blue,toyota chr
2007,46469,Hybrid,Manual,CADILLAC,Navy,cadillac coupe
2016,29351,Diesel,Semi-Automatic,MINI,Maroon,mini coupe
2006,19708,Petrol,Manual,BUICK,Purple,buick crossover
2023,33415,Electric,Automatic,DODGE,Blue,dodge durango
2020,24294,Electric,Automatic,LAND-ROVER,Brown,land-rover range-rover
2007,18276,Diesel,Automatic,ACURA,Maroon,acura rlx
2022,19949,Petrol,Automatic,INFINITI,Orange,infiniti q70
2016,21678,Electric,Automatic,NISSAN,Beige,nissan leaf
2024,111930,Electric,Automatic,TESLA,Blue,tesla roadster
2015,80094,Electric,Automatic,BMW,Brown,bmw x1
2008,36309,Hybrid,Semi-Automatic,MINI,Brown,mini clubman
2005,39788,Electric,Automatic,TESLA,Maroon,tesla model3
2012,24595,Petrol,Semi-Automatic,HONDA,Silver,honda accord
2020,30218,Hybrid,Automatic,SEAT,Green,seat coupe
2016,8961,Electric,Automatic,RAM,Gold,ram coupe
2012,14307,Electric,Automatic,CHRYSLER,Maroon,chrysler hatchback
2013,17098,Electric,Automatic,BUICK,Navy,buick coupe
2011,30628,Petrol,CVT,SUBARU,White,subaru brz
2021,79628,Hybrid,Semi-Automatic,LAND-ROVER,Navy,land-rover defender
2024,19932,Petrol,Manual,MAZDA,Green,mazda cx3
2010,66839,Electric,Automatic,TESLA,White,tesla roadster
2015,51423,Electric,Automatic,CADILLAC,Silver,cadillac wagon
2019,43297,Diesel,Manual,HONDA,Red,honda insight
2007,16861,Petrol,CVT,TOYOTA,Silver,toyota yaris
2013,32490,Electric,Automatic,CHRYSLER,Grey,chrysler minivan
2009,37596,Hybrid,Manual,SKODA,Blue,skoda sedan
2017,29499,Hybrid,Manual,MINI,Silver,mini cooper
2018,22988,Petrol,Semi-Automatic,MINI,Purple,mini countryman
2005,15043,Hybrid,Automatic,FORD,Green,ford ranger
2014,49748,Diesel,Semi-Automatic,PORSCHE,Gold,porsche taycan
2010,27723,Hybrid,CVT,BMW,Purple,bmw 740i
2016,21623,Petrol,CVT,GMC,Yellow,gmc minivan
2013,52495,Petrol,Semi-Automatic,LAND-ROVER,Brown,land-rover discovery
2011,34173,Hybrid,CVT,RAM,Red,ram coupe
2020,19171,Hybrid,Automatic,CHEVROLET,Maroon,chevrolet corvette
2024,35333,Petrol,CVT,SEAT,Blue,seat wagon
2008,38528,Electric,Automatic,MAZDA,Yellow,mazda cx30
2008,75142,Petrol,CVT,LEXUS,Grey,lexus lx570
2012,25248,Petrol,CVT,VOLVO,Black,volvo s90
2005,30315,Diesel,Manual,RENAULT,Gold,renault wagon
2007,7093,Petrol,Semi-Automatic,MINI,Grey,mini coupe
2021,111883,Diesel,Automatic,LAND-ROVER,Beige,land-rover velar
2012,12895,Hybrid,CVT,MAZDA,Orange,mazda mx5
2024,14936,Electric,Automatic,MAZDA,Green,mazda cx5
2013,20658,Electric,Automatic,PEUGEOT,Yellow,peugeot minivan
2009,55898,Electric,Automatic,BMW,Yellow,bmw m3
2007,23004,Hybrid,Automatic,SEAT,Beige,seat truck
2012,36354,Petrol,Automatic,RENAULT,Purple,renault coupe
2015,69247,Electric,Automatic,TESLA,Orange,tesla model3
2016,39702,Hybrid,Manual,MITSUBISHI,Green,mitsubishi sedan
2021,32632,Petrol,Semi-Automatic,KIA,Beige,kia niro
2017,41861,Petrol,CVT,HONDA,Navy,honda odyssey
2018,14637,Diesel,Manual,MAZDA,Black,mazda miata
2005,20685,Diesel,Semi-Automatic,MAZDA,Navy,mazda mx5
2005,18730,Electric,Automatic,SUBARU,Beige,subaru forester
2018,26708,Electric,Automatic,MAZDA,Yellow,mazda mazda3
2015,22318,Diesel,Automatic,DODGE,Orange,dodge charger
2017,41072,Electric,Automatic,GMC,White,gmc suv
2020,52457,Hybrid,Semi-Automatic,MERCEDES-BENZ,Silver,mercedes-benz s600
2010,28214,Diesel,Semi-Automatic,MITSUBISHI,Green,mitsubishi wagon
2006,52637,Hybrid,CVT,JAGUAR,Purple,jaguar ftype
2013,27916,Diesel,Manual,CHEVROLET,White,chevrolet suburban
2019,23178,Hybrid,Automatic,JEEP,Yellow,jeep renegade
2006,21523,Petrol,Automatic,CHRYSLER,Blue,chrysler truck
2009,7104,Electric,Automatic,SEAT,Grey,seat convertible
2011,36442,Electric,Automatic,FIAT,Gold,fiat suv
2022,109017,Hybrid,Semi-Automatic,LEXUS,Brown,lexus es350
2008,29560,Hybrid,Semi-Automatic,DODGE,Gold,dodge journey
2006,30601,Hybrid,Semi-Automatic,SKODA,White,skoda convertible
2009,30446,Electric,Automatic,SEAT,Navy,seat sedan
2021,95843,Electric,Automatic,JAGUAR,Beige,jaguar ipace
2013,44393,Diesel,CVT,FIAT,Black,fiat convertible
2008,10694,Hybrid,Automatic,RENAULT,Beige,renault hatchback
2009,21445,Petrol,Semi-Automatic,RENAULT,Beige,renault truck
2015,44988,Diesel,Semi-Automatic,SEAT,Black,seat convertible
2015,17645,Diesel,Automatic,VOLVO,Maroon,volvo xc90
2014,7578,Electric,Automatic,PEUGEOT,Orange,peugeot sedan
2005,18376,Electric,Automatic,FORD,Purple,ford bronco
2024,45923,Diesel,CVT,HYUNDAI,Black,hyundai tucson
2011,33396,Hybrid,Manual,PEUGEOT,Silver,peugeot sedan
2012,47796,Diesel,CVT,BMW,White,bmw z4
2012,24772,Petrol,CVT,MINI,Gold,mini clubman
2005,10456,Petrol,Automatic,HONDA,Black,honda pilot
2008,55152,Petrol,Manual,PORSCHE,Green,porsche cayenne
2019,48156,Diesel,CVT,CADILLAC,Purple,cadillac minivan
2022,38908,Diesel,Automatic,MERCEDES-BENZ,Orange,mercedes-benz g550
2023,43894,Hybrid,Manual,SUBARU,Maroon,subaru crosstrek
2010,19704,Petrol,Automatic,AUDI,Green,audi a8
2014,11605,Hybrid,Manual,TOYOTA,White,toyota highlander
2019,18576,Electric,Automatic,DODGE,Maroon,dodge ram1500
2010,9908,Hybrid,CVT,PEUGEOT,Gold,peugeot crossover
2023,22232,Petrol,CVT,VOLKSWAGEN,Maroon,vw passat
2017,49044,Hybrid,Automatic,GMC,White,gmc wagon
2015,34628,Electric,Automatic,SKODA,Purple,skoda sedan
